algorithm,input_type,n,trial,time_ms,mem_kb
quicksort,sorted,25000,8,6.4671,0
insertionsort,sorted,25000,8,0.349,0
selectionsort,sorted,25000,8,1345.43,0
bubblesort,sorted,25000,8,0.1303,0
mergesort,sorted,25000,9,5.5156,0
quicksort,sorted,25000,9,6.6948,0
insertionsort,sorted,25000,9,0.2986,0
selectionsort,sorted,25000,9,1321.15,0
bubblesort,sorted,25000,9,0.1231,0
mergesort,sorted,25000,10,5.7811,0
quicksort,sorted,25000,10,6.6326,0
insertionsort,sorted,25000,10,0.3067,0
selectionsort,sorted,25000,10,1383.03,0
bubblesort,sorted,25000,10,0.1312,0
mergesort,reverse,25000,1,5.6839,0
quicksort,reverse,25000,1,7.2225,0
insertionsort,reverse,25000,1,3063,0
selectionsort,reverse,25000,1,1334.75,0
bubblesort,reverse,25000,1,5270.16,0
mergesort,reverse,25000,2,5.549,0
quicksort,reverse,25000,2,6.5953,0
insertionsort,reverse,25000,2,2935.14,0
selectionsort,reverse,25000,2,1330.31,0
bubblesort,reverse,25000,2,5283,0
mergesort,reverse,25000,3,5.3994,0
quicksort,reverse,25000,3,7.5643,0
insertionsort,reverse,25000,3,2936.33,0
selectionsort,reverse,25000,3,1336.77,0
bubblesort,reverse,25000,3,5267.36,0
mergesort,reverse,25000,4,5.4345,0
quicksort,reverse,25000,4,7.1228,0
insertionsort,reverse,25000,4,2923.32,0
selectionsort,reverse,25000,4,1318.62,0
bubblesort,reverse,25000,4,5244.47,0
mergesort,reverse,25000,5,5.5293,0
quicksort,reverse,25000,5,8.1586,0
insertionsort,reverse,25000,5,2902.48,0
selectionsort,reverse,25000,5,1330.45,0
bubblesort,reverse,25000,5,5245.96,0
mergesort,reverse,25000,6,5.472,0
quicksort,reverse,25000,6,6.9357,0
insertionsort,reverse,25000,6,2928.36,0
selectionsort,reverse,25000,6,1317.24,0
bubblesort,reverse,25000,6,5294.74,0
mergesort,reverse,25000,7,7.3959,0
quicksort,reverse,25000,7,6.5583,0
insertionsort,reverse,25000,7,2944.35,0
selectionsort,reverse,25000,7,1333.58,0
bubblesort,reverse,25000,7,5298.87,0
mergesort,reverse,25000,8,5.3846,0
quicksort,reverse,25000,8,6.4567,0
insertionsort,reverse,25000,8,2923.13,0
selectionsort,reverse,25000,8,1346.82,0
bubblesort,reverse,25000,8,5283.12,0
mergesort,reverse,25000,9,5.4066,0
quicksort,reverse,25000,9,6.6683,0
insertionsort,reverse,25000,9,2922.99,0
selectionsort,reverse,25000,9,1331.23,0
bubblesort,reverse,25000,9,5326.61,0
mergesort,reverse,25000,10,5.4261,0
quicksort,reverse,25000,10,6.6732,0
insertionsort,reverse,25000,10,2932.86,0
selectionsort,reverse,25000,10,1339.79,0
bubblesort,reverse,25000,10,5328.49,0
mergesort,random,50000,1,17.6818,196
quicksort,random,50000,1,15.9768,0
insertionsort,random,50000,1,SKIP,SKIP
selectionsort,random,50000,1,SKIP,SKIP
bubblesort,random,50000,1,SKIP,SKIP
mergesort,random,50000,2,16.9814,0
quicksort,random,50000,2,16.3142,0
insertionsort,random,50000,2,SKIP,SKIP
selectionsort,random,50000,2,SKIP,SKIP
bubblesort,random,50000,2,SKIP,SKIP
mergesort,random,50000,3,17.8866,0
quicksort,random,50000,3,16.6544,0
insertionsort,random,50000,3,SKIP,SKIP
selectionsort,random,50000,3,SKIP,SKIP
bubblesort,random,50000,3,SKIP,SKIP
mergesort,random,50000,4,16.7138,0
quicksort,random,50000,4,15.8835,0
insertionsort,random,50000,4,SKIP,SKIP
selectionsort,random,50000,4,SKIP,SKIP
bubblesort,random,50000,4,SKIP,SKIP
mergesort,random,50000,5,18.1889,0
quicksort,random,50000,5,17.2669,0
insertionsort,random,50000,5,SKIP,SKIP
selectionsort,random,50000,5,SKIP,SKIP
bubblesort,random,50000,5,SKIP,SKIP
mergesort,random,50000,6,17.0654,0
quicksort,random,50000,6,16.754,0
insertionsort,random,50000,6,SKIP,SKIP
selectionsort,random,50000,6,SKIP,SKIP
bubblesort,random,50000,6,SKIP,SKIP
mergesort,random,50000,7,17.1091,0
quicksort,random,50000,7,16.1545,0
insertionsort,random,50000,7,SKIP,SKIP
selectionsort,random,50000,7,SKIP,SKIP
bubblesort,random,50000,7,SKIP,SKIP
mergesort,random,50000,8,16.5977,0
quicksort,random,50000,8,16.1759,0
insertionsort,random,50000,8,SKIP,SKIP
selectionsort,random,50000,8,SKIP,SKIP
bubblesort,random,50000,8,SKIP,SKIP
mergesort,random,50000,9,17.1853,0
quicksort,random,50000,9,16.806,0
insertionsort,random,50000,9,SKIP,SKIP
selectionsort,random,50000,9,SKIP,SKIP
bubblesort,random,50000,9,SKIP,SKIP
mergesort,random,50000,10,16.6878,0
quicksort,random,50000,10,16.7066,0
insertionsort,random,50000,10,SKIP,SKIP
selectionsort,random,50000,10,SKIP,SKIP
bubblesort,random,50000,10,SKIP,SKIP
mergesort,sorted,50000,1,11.825,0
quicksort,sorted,50000,1,15.0154,0
insertionsort,sorted,50000,1,SKIP,SKIP
selectionsort,sorted,50000,1,SKIP,SKIP
bubblesort,sorted,50000,1,SKIP,SKIP
mergesort,sorted,50000,2,11.3341,0
quicksort,sorted,50000,2,15.7842,0
insertionsort,sorted,50000,2,SKIP,SKIP
selectionsort,sorted,50000,2,SKIP,SKIP
bubblesort,sorted,50000,2,SKIP,SKIP
mergesort,sorted,50000,3,12.9839,0
quicksort,sorted,50000,3,14.6545,0
insertionsort,sorted,50000,3,SKIP,SKIP
selectionsort,sorted,50000,3,SKIP,SKIP
bubblesort,sorted,50000,3,SKIP,SKIP
mergesort,sorted,50000,4,11.9238,0
quicksort,sorted,50000,4,13.6242,0
insertionsort,sorted,50000,4,SKIP,SKIP
selectionsort,sorted,50000,4,SKIP,SKIP
bubblesort,sorted,50000,4,SKIP,SKIP
mergesort,sorted,50000,5,12.3199,0
quicksort,sorted,50000,5,13.2971,0
insertionsort,sorted,50000,5,SKIP,SKIP
selectionsort,sorted,50000,5,SKIP,SKIP
bubblesort,sorted,50000,5,SKIP,SKIP
mergesort,sorted,50000,6,11.3502,0
quicksort,sorted,50000,6,13.9111,0
insertionsort,sorted,50000,6,SKIP,SKIP
selectionsort,sorted,50000,6,SKIP,SKIP
bubblesort,sorted,50000,6,SKIP,SKIP
mergesort,sorted,50000,7,11.7093,0
quicksort,sorted,50000,7,13.3495,0
insertionsort,sorted,50000,7,SKIP,SKIP
selectionsort,sorted,50000,7,SKIP,SKIP
bubblesort,sorted,50000,7,SKIP,SKIP
mergesort,sorted,50000,8,11.77,0
quicksort,sorted,50000,8,14.0115,0
insertionsort,sorted,50000,8,SKIP,SKIP
selectionsort,sorted,50000,8,SKIP,SKIP
bubblesort,sorted,50000,8,SKIP,SKIP
mergesort,sorted,50000,9,11.7234,0
quicksort,sorted,50000,9,13.0769,0
insertionsort,sorted,50000,9,SKIP,SKIP
selectionsort,sorted,50000,9,SKIP,SKIP
bubblesort,sorted,50000,9,SKIP,SKIP
mergesort,sorted,50000,10,11.65,0
quicksort,sorted,50000,10,13.3913,0
insertionsort,sorted,50000,10,SKIP,SKIP
selectionsort,sorted,50000,10,SKIP,SKIP
bubblesort,sorted,50000,10,SKIP,SKIP
mergesort,reverse,50000,1,11.5701,0
quicksort,reverse,50000,1,14.1997,0
insertionsort,reverse,50000,1,SKIP,SKIP
selectionsort,reverse,50000,1,SKIP,SKIP
bubblesort,reverse,50000,1,SKIP,SKIP
mergesort,reverse,50000,2,11.3974,0
quicksort,reverse,50000,2,13.5744,0
insertionsort,reverse,50000,2,SKIP,SKIP
selectionsort,reverse,50000,2,SKIP,SKIP
bubblesort,reverse,50000,2,SKIP,SKIP
mergesort,reverse,50000,3,11.5378,0
quicksort,reverse,50000,3,13.7726,0
insertionsort,reverse,50000,3,SKIP,SKIP
selectionsort,reverse,50000,3,SKIP,SKIP
bubblesort,reverse,50000,3,SKIP,SKIP
mergesort,reverse,50000,4,11.1698,0
quicksort,reverse,50000,4,13.9238,0
insertionsort,reverse,50000,4,SKIP,SKIP
selectionsort,reverse,50000,4,SKIP,SKIP
bubblesort,reverse,50000,4,SKIP,SKIP
mergesort,reverse,50000,5,13.139,0
quicksort,reverse,50000,5,13.8774,0
insertionsort,reverse,50000,5,SKIP,SKIP
selectionsort,reverse,50000,5,SKIP,SKIP
bubblesort,reverse,50000,5,SKIP,SKIP
mergesort,reverse,50000,6,11.4564,0
quicksort,reverse,50000,6,14.5711,0
insertionsort,reverse,50000,6,SKIP,SKIP
selectionsort,reverse,50000,6,SKIP,SKIP
bubblesort,reverse,50000,6,SKIP,SKIP
mergesort,reverse,50000,7,11.8373,0
quicksort,reverse,50000,7,13.5201,0
insertionsort,reverse,50000,7,SKIP,SKIP
selectionsort,reverse,50000,7,SKIP,SKIP
bubblesort,reverse,50000,7,SKIP,SKIP
mergesort,reverse,50000,8,12.167,0
quicksort,reverse,50000,8,14.6268,0
insertionsort,reverse,50000,8,SKIP,SKIP
selectionsort,reverse,50000,8,SKIP,SKIP
bubblesort,reverse,50000,8,SKIP,SKIP
mergesort,reverse,50000,9,12.3859,0
quicksort,reverse,50000,9,13.8934,0
insertionsort,reverse,50000,9,SKIP,SKIP
selectionsort,reverse,50000,9,SKIP,SKIP
bubblesort,reverse,50000,9,SKIP,SKIP
mergesort,reverse,50000,10,11.6123,196
quicksort,reverse,50000,10,14.4687,0
insertionsort,reverse,50000,10,SKIP,SKIP
selectionsort,reverse,50000,10,SKIP,SKIP
bubblesort,reverse,50000,10,SKIP,SKIP
mergesort,random,75000,1,26.6397,300
quicksort,random,75000,1,24.7118,0
insertionsort,random,75000,1,SKIP,SKIP
selectionsort,random,75000,1,SKIP,SKIP
bubblesort,random,75000,1,SKIP,SKIP
mergesort,random,75000,2,26.1476,0
quicksort,random,75000,2,25.6373,0
insertionsort,random,75000,2,SKIP,SKIP
selectionsort,random,75000,2,SKIP,SKIP
bubblesort,random,75000,2,SKIP,SKIP
mergesort,random,75000,3,26.2615,0
quicksort,random,75000,3,25.2828,0
insertionsort,random,75000,3,SKIP,SKIP
selectionsort,random,75000,3,SKIP,SKIP
bubblesort,random,75000,3,SKIP,SKIP
mergesort,random,75000,4,26.3866,0
quicksort,random,75000,4,24.1371,0
insertionsort,random,75000,4,SKIP,SKIP
selectionsort,random,75000,4,SKIP,SKIP
bubblesort,random,75000,4,SKIP,SKIP
mergesort,random,75000,5,26.7538,292
quicksort,random,75000,5,23.6708,0
insertionsort,random,75000,5,SKIP,SKIP
selectionsort,random,75000,5,SKIP,SKIP
bubblesort,random,75000,5,SKIP,SKIP
mergesort,random,75000,6,26.2449,0
quicksort,random,75000,6,24.0695,0
insertionsort,random,75000,6,SKIP,SKIP
selectionsort,random,75000,6,SKIP,SKIP
bubblesort,random,75000,6,SKIP,SKIP
mergesort,random,75000,7,25.8405,0
quicksort,random,75000,7,25.7631,0
insertionsort,random,75000,7,SKIP,SKIP
selectionsort,random,75000,7,SKIP,SKIP
bubblesort,random,75000,7,SKIP,SKIP
mergesort,random,75000,8,25.7137,292
quicksort,random,75000,8,24.8958,0
insertionsort,random,75000,8,SKIP,SKIP
selectionsort,random,75000,8,SKIP,SKIP
bubblesort,random,75000,8,SKIP,SKIP
mergesort,random,75000,9,26.5464,0
quicksort,random,75000,9,25.2322,0
insertionsort,random,75000,9,SKIP,SKIP
selectionsort,random,75000,9,SKIP,SKIP
bubblesort,random,75000,9,SKIP,SKIP
mergesort,random,75000,10,26.1198,0
quicksort,random,75000,10,24.9186,0
insertionsort,random,75000,10,SKIP,SKIP
selectionsort,random,75000,10,SKIP,SKIP
bubblesort,random,75000,10,SKIP,SKIP
mergesort,sorted,75000,1,18.4007,292
quicksort,sorted,75000,1,20.531,0
insertionsort,sorted,75000,1,SKIP,SKIP
selectionsort,sorted,75000,1,SKIP,SKIP
bubblesort,sorted,75000,1,SKIP,SKIP
mergesort,sorted,75000,2,18.6522,0
quicksort,sorted,75000,2,20.4206,0
insertionsort,sorted,75000,2,SKIP,SKIP
selectionsort,sorted,75000,2,SKIP,SKIP
bubblesort,sorted,75000,2,SKIP,SKIP
mergesort,sorted,75000,3,18.1109,292
quicksort,sorted,75000,3,21.274,0
insertionsort,sorted,75000,3,SKIP,SKIP
selectionsort,sorted,75000,3,SKIP,SKIP
bubblesort,sorted,75000,3,SKIP,SKIP
mergesort,sorted,75000,4,18.071,0
quicksort,sorted,75000,4,22.1182,0
insertionsort,sorted,75000,4,SKIP,SKIP
selectionsort,sorted,75000,4,SKIP,SKIP
bubblesort,sorted,75000,4,SKIP,SKIP
mergesort,sorted,75000,5,18.4818,0
quicksort,sorted,75000,5,20.9921,0
insertionsort,sorted,75000,5,SKIP,SKIP
selectionsort,sorted,75000,5,SKIP,SKIP
bubblesort,sorted,75000,5,SKIP,SKIP
mergesort,sorted,75000,6,18.5035,292
quicksort,sorted,75000,6,21.2857,0
insertionsort,sorted,75000,6,SKIP,SKIP
selectionsort,sorted,75000,6,SKIP,SKIP
bubblesort,sorted,75000,6,SKIP,SKIP
mergesort,sorted,75000,7,18.4612,0
quicksort,sorted,75000,7,21.6551,0
insertionsort,sorted,75000,7,SKIP,SKIP
selectionsort,sorted,75000,7,SKIP,SKIP
bubblesort,sorted,75000,7,SKIP,SKIP
mergesort,sorted,75000,8,17.9437,0
quicksort,sorted,75000,8,21.8829,0
insertionsort,sorted,75000,8,SKIP,SKIP
selectionsort,sorted,75000,8,SKIP,SKIP
bubblesort,sorted,75000,8,SKIP,SKIP
mergesort,sorted,75000,9,17.8014,292
quicksort,sorted,75000,9,20.0738,0
insertionsort,sorted,75000,9,SKIP,SKIP
selectionsort,sorted,75000,9,SKIP,SKIP
bubblesort,sorted,75000,9,SKIP,SKIP
mergesort,sorted,75000,10,17.8152,0
quicksort,sorted,75000,10,20.5255,0
insertionsort,sorted,75000,10,SKIP,SKIP
selectionsort,sorted,75000,10,SKIP,SKIP
bubblesort,sorted,75000,10,SKIP,SKIP
mergesort,reverse,75000,1,18.0607,0
quicksort,reverse,75000,1,21.0263,0
insertionsort,reverse,75000,1,SKIP,SKIP
selectionsort,reverse,75000,1,SKIP,SKIP
bubblesort,reverse,75000,1,SKIP,SKIP
mergesort,reverse,75000,2,18.2403,292
quicksort,reverse,75000,2,21.1834,0
insertionsort,reverse,75000,2,SKIP,SKIP
selectionsort,reverse,75000,2,SKIP,SKIP
bubblesort,reverse,75000,2,SKIP,SKIP
mergesort,reverse,75000,3,17.6716,0
quicksort,reverse,75000,3,21.4944,0
insertionsort,reverse,75000,3,SKIP,SKIP
selectionsort,reverse,75000,3,SKIP,SKIP
bubblesort,reverse,75000,3,SKIP,SKIP
mergesort,reverse,75000,4,17.9353,292
quicksort,reverse,75000,4,21.4029,0
insertionsort,reverse,75000,4,SKIP,SKIP
selectionsort,reverse,75000,4,SKIP,SKIP
bubblesort,reverse,75000,4,SKIP,SKIP
mergesort,reverse,75000,5,17.6901,0
quicksort,reverse,75000,5,21.2742,0
insertionsort,reverse,75000,5,SKIP,SKIP
selectionsort,reverse,75000,5,SKIP,SKIP
bubblesort,reverse,75000,5,SKIP,SKIP
mergesort,reverse,75000,6,17.8421,0
quicksort,reverse,75000,6,22.8504,0
insertionsort,reverse,75000,6,SKIP,SKIP
selectionsort,reverse,75000,6,SKIP,SKIP
bubblesort,reverse,75000,6,SKIP,SKIP
mergesort,reverse,75000,7,17.8342,292
quicksort,reverse,75000,7,21.5848,0
insertionsort,reverse,75000,7,SKIP,SKIP
selectionsort,reverse,75000,7,SKIP,SKIP
bubblesort,reverse,75000,7,SKIP,SKIP
mergesort,reverse,75000,8,17.7508,0
quicksort,reverse,75000,8,21.3617,0
insertionsort,reverse,75000,8,SKIP,SKIP
selectionsort,reverse,75000,8,SKIP,SKIP
bubblesort,reverse,75000,8,SKIP,SKIP
mergesort,reverse,75000,9,17.5662,0
quicksort,reverse,75000,9,21.2034,0
insertionsort,reverse,75000,9,SKIP,SKIP
selectionsort,reverse,75000,9,SKIP,SKIP
bubblesort,reverse,75000,9,SKIP,SKIP
mergesort,reverse,75000,10,17.7613,292
quicksort,reverse,75000,10,20.8747,0
insertionsort,reverse,75000,10,SKIP,SKIP
selectionsort,reverse,75000,10,SKIP,SKIP
bubblesort,reverse,75000,10,SKIP,SKIP
mergesort,random,100000,1,35.5093,396
quicksort,random,100000,1,33.9938,0
insertionsort,random,100000,1,SKIP,SKIP
selectionsort,random,100000,1,SKIP,SKIP
bubblesort,random,100000,1,SKIP,SKIP
mergesort,random,100000,2,36.3545,0
quicksort,random,100000,2,34.8454,0
insertionsort,random,100000,2,SKIP,SKIP
selectionsort,random,100000,2,SKIP,SKIP
bubblesort,random,100000,2,SKIP,SKIP
mergesort,random,100000,3,35.5722,0
quicksort,random,100000,3,34.5933,0
insertionsort,random,100000,3,SKIP,SKIP
selectionsort,random,100000,3,SKIP,SKIP
bubblesort,random,100000,3,SKIP,SKIP
mergesort,random,100000,4,35.1837,0
quicksort,random,100000,4,35.2513,0
insertionsort,random,100000,4,SKIP,SKIP
selectionsort,random,100000,4,SKIP,SKIP
bubblesort,random,100000,4,SKIP,SKIP
mergesort,random,100000,5,35.3596,388
quicksort,random,100000,5,34.083,0
insertionsort,random,100000,5,SKIP,SKIP
selectionsort,random,100000,5,SKIP,SKIP
bubblesort,random,100000,5,SKIP,SKIP
mergesort,random,100000,6,36.9385,0
quicksort,random,100000,6,32.9054,0
insertionsort,random,100000,6,SKIP,SKIP
selectionsort,random,100000,6,SKIP,SKIP
bubblesort,random,100000,6,SKIP,SKIP
mergesort,random,100000,7,37.5561,0
quicksort,random,100000,7,33.0737,0
insertionsort,random,100000,7,SKIP,SKIP
selectionsort,random,100000,7,SKIP,SKIP
bubblesort,random,100000,7,SKIP,SKIP
mergesort,random,100000,8,35.291,388
quicksort,random,100000,8,32.7553,0
insertionsort,random,100000,8,SKIP,SKIP
selectionsort,random,100000,8,SKIP,SKIP
bubblesort,random,100000,8,SKIP,SKIP
mergesort,random,100000,9,35.4302,0
quicksort,random,100000,9,33.2258,0
insertionsort,random,100000,9,SKIP,SKIP
selectionsort,random,100000,9,SKIP,SKIP
bubblesort,random,100000,9,SKIP,SKIP
mergesort,random,100000,10,35.5158,0
quicksort,random,100000,10,35.7301,0
insertionsort,random,100000,10,SKIP,SKIP
selectionsort,random,100000,10,SKIP,SKIP
bubblesort,random,100000,10,SKIP,SKIP
mergesort,sorted,100000,1,24.0052,0
quicksort,sorted,100000,1,28.6161,0
insertionsort,sorted,100000,1,SKIP,SKIP
selectionsort,sorted,100000,1,SKIP,SKIP
bubblesort,sorted,100000,1,SKIP,SKIP
mergesort,sorted,100000,2,25.1207,0
quicksort,sorted,100000,2,31.2192,0
insertionsort,sorted,100000,2,SKIP,SKIP
selectionsort,sorted,100000,2,SKIP,SKIP
bubblesort,sorted,100000,2,SKIP,SKIP
mergesort,sorted,100000,3,24.0457,388
quicksort,sorted,100000,3,27.7637,0
insertionsort,sorted,100000,3,SKIP,SKIP
selectionsort,sorted,100000,3,SKIP,SKIP
bubblesort,sorted,100000,3,SKIP,SKIP
mergesort,sorted,100000,4,24.2716,0
quicksort,sorted,100000,4,27.829,0
insertionsort,sorted,100000,4,SKIP,SKIP
selectionsort,sorted,100000,4,SKIP,SKIP
bubblesort,sorted,100000,4,SKIP,SKIP
mergesort,sorted,100000,5,26.4952,0
quicksort,sorted,100000,5,28.1051,0
insertionsort,sorted,100000,5,SKIP,SKIP
selectionsort,sorted,100000,5,SKIP,SKIP
bubblesort,sorted,100000,5,SKIP,SKIP
mergesort,sorted,100000,6,24.0988,388
quicksort,sorted,100000,6,28.0537,0
insertionsort,sorted,100000,6,SKIP,SKIP
selectionsort,sorted,100000,6,SKIP,SKIP
bubblesort,sorted,100000,6,SKIP,SKIP
mergesort,sorted,100000,7,24.2704,0
quicksort,sorted,100000,7,30.973,0
insertionsort,sorted,100000,7,SKIP,SKIP
selectionsort,sorted,100000,7,SKIP,SKIP
bubblesort,sorted,100000,7,SKIP,SKIP
mergesort,sorted,100000,8,24.5081,0
quicksort,sorted,100000,8,30.4185,0
insertionsort,sorted,100000,8,SKIP,SKIP
selectionsort,sorted,100000,8,SKIP,SKIP
bubblesort,sorted,100000,8,SKIP,SKIP
mergesort,sorted,100000,9,25.9734,388
quicksort,sorted,100000,9,28.0225,0
insertionsort,sorted,100000,9,SKIP,SKIP
selectionsort,sorted,100000,9,SKIP,SKIP
bubblesort,sorted,100000,9,SKIP,SKIP
mergesort,sorted,100000,10,24.4229,0
quicksort,sorted,100000,10,28.6273,0
insertionsort,sorted,100000,10,SKIP,SKIP
selectionsort,sorted,100000,10,SKIP,SKIP
bubblesort,sorted,100000,10,SKIP,SKIP
mergesort,reverse,100000,1,24.349,0
quicksort,reverse,100000,1,28.1989,0
insertionsort,reverse,100000,1,SKIP,SKIP
selectionsort,reverse,100000,1,SKIP,SKIP
bubblesort,reverse,100000,1,SKIP,SKIP
mergesort,reverse,100000,2,24.3111,388
quicksort,reverse,100000,2,28.2858,0
insertionsort,reverse,100000,2,SKIP,SKIP
selectionsort,reverse,100000,2,SKIP,SKIP
bubblesort,reverse,100000,2,SKIP,SKIP
mergesort,reverse,100000,3,24.1993,0
quicksort,reverse,100000,3,31.6945,0
insertionsort,reverse,100000,3,SKIP,SKIP
selectionsort,reverse,100000,3,SKIP,SKIP
bubblesort,reverse,100000,3,SKIP,SKIP
mergesort,reverse,100000,4,24.3022,388
quicksort,reverse,100000,4,28.6735,0
insertionsort,reverse,100000,4,SKIP,SKIP
selectionsort,reverse,100000,4,SKIP,SKIP
bubblesort,reverse,100000,4,SKIP,SKIP
mergesort,reverse,100000,5,24.1811,0
quicksort,reverse,100000,5,28.516,0
insertionsort,reverse,100000,5,SKIP,SKIP
selectionsort,reverse,100000,5,SKIP,SKIP
bubblesort,reverse,100000,5,SKIP,SKIP
mergesort,reverse,100000,6,24.1989,0
quicksort,reverse,100000,6,30.7659,0
insertionsort,reverse,100000,6,SKIP,SKIP
selectionsort,reverse,100000,6,SKIP,SKIP
bubblesort,reverse,100000,6,SKIP,SKIP
mergesort,reverse,100000,7,24.0485,388
quicksort,reverse,100000,7,29.9272,0
insertionsort,reverse,100000,7,SKIP,SKIP
selectionsort,reverse,100000,7,SKIP,SKIP
bubblesort,reverse,100000,7,SKIP,SKIP
mergesort,reverse,100000,8,24.0129,0
quicksort,reverse,100000,8,30.731,0
insertionsort,reverse,100000,8,SKIP,SKIP
selectionsort,reverse,100000,8,SKIP,SKIP
bubblesort,reverse,100000,8,SKIP,SKIP
mergesort,reverse,100000,9,23.8292,0
quicksort,reverse,100000,9,29.0647,0
insertionsort,reverse,100000,9,SKIP,SKIP
selectionsort,reverse,100000,9,SKIP,SKIP
bubblesort,reverse,100000,9,SKIP,SKIP
mergesort,reverse,100000,10,23.7281,388
quicksort,reverse,100000,10,32.2239,0
insertionsort,reverse,100000,10,SKIP,SKIP
selectionsort,reverse,100000,10,SKIP,SKIP
bubblesort,reverse,100000,10,SKIP,SKIP
